BuildingName;BuildingType;Latitude;Longitude;Neighborhood;YearBuilt;EPAPropertyType;LargestPropertyUseType;ComplianceStatus;ComplianceIssue
THORNTON CINEMA BUILDING & PARKING GARAGE;NonResidential;47.70281;-122.32532;NORTH;2008;Parking;Parking;Not Compliant;Missing EUI, Incomplete Natural Gas Data
TRIBECA CONDOS & STORE;NonResidential;47.6239;-122.35756;MAGNOLIA / QUEEN ANNE;2002;Mixed Use Property;Multifamily Housing;Compliant;No Issue
2024 THIRD AVE/YWCA;Multifamily MR (5-9);47.61316;-122.34153;DOWNTOWN;2003;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
WEST SEATTLE FOOD BANK;Multifamily LR (1-4);47.54448;-122.37603;DELRIDGE NEIGHBORHOODS;2007;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
PINE ST. CONDO-ELLIOTT GRAND HYATT SEATTLE;NonResidential;47.61275;-122.3333;DOWNTOWN;1999;Mixed Use Property;Hotel;Compliant;No Issue
SWEDISH MEDICAL CENTER CHERRY HILL - CAMPUS;Campus;47.60705;-122.30966;CENTRAL;1990;Hospital (General Medical & Surgical);Hospital (General Medical & Surgical);Compliant;No Issue
HIGHLAND PARK SCHOOL (SPS-DISTRICT);SPS-District K-12;47.52518;-122.34828;DELRIDGE NEIGHBORHOODS;1999;K-12 School;K-12 School;Compliant;No Issue
PUBLIC STORAGE (STORE 27020);NonResidential;47.65097;-122.34227;LAKE UNION;1991;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
HARBORVIEW MEDICAL CENTER - Campus;Campus;47.60399;-122.32377;EAST;2000;Hospital (General Medical & Surgical);Hospital (General Medical & Surgical);Compliant;No Issue
ID VILLAGE SQUARE 1;NonResidential;47.59626;-122.3218;DOWNTOWN;1999;;Senior Living Community;Not Compliant;Default Data
WEST SEATTLE HIGH SCHOOL (SPS-DISTRICT);SPS-District K-12;47.57678;-122.38459;SOUTHWEST;2002;K-12 School;K-12 School;Compliant;No Issue
THE WINTONIA;Multifamily MR (5-9);47.6136;-122.32785;EAST;1909;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
UNIVERSITY HEIGHTS CENTER;NonResidential;47.66568;-122.31368;NORTHEAST;1928;Social/Meeting Hall;Social/Meeting Hall;Compliant;No Issue
HOTEL DECA;NonResidential;47.66151;-122.31457;NORTHEAST;1931;Hotel;Hotel;Compliant;No Issue
LAKE CITY CENTER;NonResidential;47.71895;-122.29475;NORTH;1972;Office;Office;Compliant;No Issue
UNIVERSITY CONGREGATIONAL CHURCH;NonResidential;47.66182;-122.31113;NORTHEAST;1952;Worship Facility;Worship Facility;Compliant;No Issue
UNIVERSITY PRESBYTERIAN CHURCH;NonResidential;47.6626;-122.31164;NORTHEAST;1952;Worship Facility;Worship Facility;Compliant;No Issue
ROOSEVELT HIGH (SPS-DISTRICT);SPS-District K-12;47.67723;-122.31281;NORTHEAST;2006;K-12 School;K-12 School;Compliant;No Issue
BRYANT ELEMENTARY (SPS-DISTRICT);SPS-District K-12;47.67184;-122.29221;NORTHEAST;2001;K-12 School;K-12 School;Compliant;No Issue
FRANTZ H COE ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.64052;-122.3656;MAGNOLIA / QUEEN ANNE;2003;K-12 School;K-12 School;Compliant;No Issue
MADISON MIDDLE (SPS-DISTRICT);SPS-District K-12;47.57298;-122.39028;SOUTHWEST;2005;K-12 School;K-12 School;Compliant;No Issue
THURGOOD MARSHALL (SPS-DISTRICT);SPS-District K-12;47.59096;-122.29985;CENTRAL;1991;K-12 School;K-12 School;Compliant;No Issue
MARSHALL, JOHN (SPS-DISTRICT);SPS-District K-12;47.67725;-122.32232;NORTHWEST;1927;K-12 School;K-12 School;Compliant;No Issue
ACT THEATER;NonResidential;47.61103;-122.33238;DOWNTOWN;1914;Other - Entertainment/Public Assembly;Other - Entertainment/Public Assembly;Not Compliant;Missing EUI or Utility Data
YWCA Women's Residence;NonResidential;47.6079;-122.33266;DOWNTOWN;1913;Residence Hall/Dormitory;Residence Hall/Dormitory;Compliant;No Issue
CENTURYLINK: 3RD AVE 3-D;NonResidential;47.60699;-122.33481;DOWNTOWN;1955;Other;Other;Compliant;No Issue
Youngstown Cultural Arts Center/Cooper School Artist Lofts;Multifamily LR (1-4);47.56379;-122.36301;DELRIDGE NEIGHBORHOODS;1917;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
LAKE CITY COURT;Multifamily MR (5-9);47.72217;-122.29182;NORTH;2009;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
OTHELLO BUILDING;Multifamily LR (1-4);47.53685;-122.28406;GREATER DUWAMISH;2003;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
CLEVELAND HIGH SCHOOL (SPS-DISTRICT);SPS-District K-12;47.55237;-122.31391;GREATER DUWAMISH;2007;K-12 School;K-12 School;Compliant;No Issue
WA ARMY NATIONAL GUARD;Nonresidential WA;47.63781;-122.37846;MAGNOLIA / QUEEN ANNE;1973;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
ELLIOTT PARK BUILDING;NonResidential;47.61972;-122.36033;MAGNOLIA / QUEEN ANNE;1927;Mixed Use Property;Laboratory;Compliant;No Issue
EDGEWATER INN;NonResidential;47.61235;-122.3518;DOWNTOWN;1961;Hotel;Hotel;Compliant;No Issue
PORT OF SEATTLE  BELL HARBOR COMPLEX  & CONFERENCE - CAMPUS;Campus;47.61137;-122.34947;DOWNTOWN;1995;Mixed Use Property;Convention Center;Compliant;No Issue
SEATTLE WATERFRONT MARRIOTT;NonResidential;47.61069;-122.34653;DOWNTOWN;2003;Hotel;Hotel;Compliant;No Issue
SEATTLE AQUARIUM;Nonresidential COS;47.60729;-122.34211;DOWNTOWN;1980;Other - Entertainment/Public Assembly;Other - Entertainment/Public Assembly;Compliant;No Issue
PIER 54;NonResidential;47.6041;-122.33958;DOWNTOWN;1900;Mixed Use Property;Restaurant;Compliant;No Issue
DAILY JOURNAL BUILDING;NonResidential;47.60271;-122.33557;DOWNTOWN;1914;Office;Office;Compliant;No Issue
BMW SEATTLE - SERVICE CENTER;NonResidential;47.59486;-122.32455;GREATER DUWAMISH;2008;;Vehicle Dealership;Compliant;No Issue
KIRO-TV;NonResidential;47.61757;-122.35122;DOWNTOWN;1968;Office;Office;Compliant;No Issue
GRANGE OFFICE PLAZA;NonResidential;47.61703;-122.35012;DOWNTOWN;1981;Office;Office;Compliant;No Issue
FOURTH & BATTERY BUILDING;NonResidential;47.61619;-122.34599;DOWNTOWN;1978;Office;Office;Compliant;No Issue
WESTLAKE MALL RETAIL PORTION;NonResidential;47.61192;-122.33717;DOWNTOWN;1989;Enclosed Mall;Enclosed Mall;Compliant;No Issue
WESTLAKE TOWER;NonResidential;47.61192;-122.33717;DOWNTOWN;1989;Office;Office;Compliant;No Issue
NORDSTROM DOWNTOWN;NonResidential;47.61229;-122.33629;DOWNTOWN;1925;Retail Store;Retail Store;Compliant;No Issue
CENTURYLINK: SEATTLE BELL PLAZA;NonResidential;47.61316;-122.3343;DOWNTOWN;1976;Office;Office;Compliant;No Issue
1700 SEVENTH BUILDING;NonResidential;47.61399;-122.33523;DOWNTOWN;2000;Office;Office;Compliant;No Issue
LLOYD BUILDING;NonResidential;47.61356;-122.33665;DOWNTOWN;1926;Office;Office;Not Compliant;Missing EUI, Incomplete Natural Gas Data
TOWER BLDG;NonResidential;47.61375;-122.33566;DOWNTOWN;1930;Office;Office;Compliant;No Issue
TIMES SQUARE BUILDING (THE VANCE CORPORATION);NonResidential;47.61256;-122.33808;DOWNTOWN;1916;Office;Office;Compliant;No Issue
PLAZA 600 BUILDING;NonResidential;47.61402;-122.33712;DOWNTOWN;1969;Office;Office;Compliant;No Issue
WEST 8TH;NonResidential;47.61578;-122.33726;DOWNTOWN;2009;Office;Office;Compliant;No Issue
DENNY BUILDING;NonResidential;47.61641;-122.34112;DOWNTOWN;1968;Office;Office;Compliant;No Issue
1918 EIGHTH AVE;NonResidential;47.61555;-122.33582;DOWNTOWN;2009;Office;Office;Compliant;No Issue
1800 9TH AVENUE BUILDING;NonResidential;47.61516;-122.33303;DOWNTOWN;1990;Office;Office;Compliant;No Issue
SEATTLE CHILDREN'S HOSPITAL  (JACK R MCDONALD BUILDING);NonResidential;47.61598;-122.33448;DOWNTOWN;2004;Other;Other;Compliant;No Issue
BRODERICK BUILDING;NonResidential;47.60266;-122.33332;DOWNTOWN;1900;Office;Office;Compliant;No Issue
PIONEER BUILDING;NonResidential;47.60219;-122.33347;DOWNTOWN;1900;Office;Office;Compliant;No Issue
DEXTER HORTON BUILDING;NonResidential;47.6036;-122.33288;DOWNTOWN;1922;Office;Office;Compliant;No Issue
EXCHANGE BUILDING;NonResidential;47.60403;-122.33497;DOWNTOWN;1929;Office;Office;Compliant;No Issue
NORTON BUILDING;NonResidential;47.6037;-122.33447;DOWNTOWN;1958;Office;Office;Compliant;No Issue
999 THIRD AVE;NonResidential;47.60505;-122.33427;DOWNTOWN;1983;Office;Office;Compliant;No Issue
1000 2ND AVENUE BUILDING;NonResidential;47.60567;-122.33511;DOWNTOWN;1986;Office;Office;Compliant;No Issue
1101 SECOND AVE OFFICE BUILDING;NonResidential;47.60581;-122.33664;DOWNTOWN;1968;Office;Office;Compliant;No Issue
2ND & SENECA BLDS;NonResidential;47.60614;-122.33674;DOWNTOWN;1991;Office;Office;Compliant;No Issue
SECOND AND SPRING BUILDING;NonResidential;47.60642;-122.33581;DOWNTOWN;1958;Office;Office;Compliant;No Issue
1111 3RD AVE BUILDING;NonResidential;47.60655;-122.33533;DOWNTOWN;1980;Office;Office;Compliant;No Issue
ABRAHAM LINCOLN BUILDING;NonResidential;47.60671;-122.33456;DOWNTOWN;1972;Office;Office;Compliant;No Issue
SAFECO PLAZA / 1001 FOURTH AVENUE;NonResidential;47.60615;-122.33388;DOWNTOWN;1969;Office;Office;Compliant;No Issue
FOURTH & MADISON ( IDX TOWER);NonResidential;47.60549;-122.33319;DOWNTOWN;2002;Office;Office;Compliant;No Issue
901 FIFTH AVENUE;NonResidential;47.60616;-122.33165;DOWNTOWN;1973;Office;Office;Compliant;No Issue
CENTRAL BUILDING;NonResidential;47.60471;-122.33261;DOWNTOWN;1907;Office;Office;Compliant;No Issue
SEATTLE MUNICIPAL TOWER;Nonresidential COS;47.60501;-122.32988;DOWNTOWN;1990;Office;Office;Compliant;No Issue
SEATTLE JUSTICE CENTER;Nonresidential COS;47.60421;-122.32919;DOWNTOWN;2001;Police Station;Police Station;Compliant;No Issue
CITY HALL;Nonresidential COS;47.60377;-122.32971;DOWNTOWN;2003;Office;Office;Compliant;No Issue
CHINOOK BLDG - KING COUNTY;NonResidential;47.60249;-122.32854;DOWNTOWN;2006;Office;Office;Compliant;No Issue
YESLER BUILDING - KING COUNTY;NonResidential;47.60193;-122.32812;DOWNTOWN;1909;Office;Office;Compliant;No Issue
UNIVERSITY BOOK STORE;NonResidential;47.66024;-122.31278;NORTHEAST;1978;Retail Store;Retail Store;Compliant;No Issue
UW TOWER BLDG COMPLEX;Nonresidential WA;47.66072;-122.31466;NORTHEAST;1971;Office;Office;Compliant;No Issue
UW TOWER DATA CENTER;NonResidential;47.6606;-122.31512;NORTHEAST;1969;Data Center;Data Center;Compliant;No Issue
UNIVERSITY DISTRICT BUILDING;NonResidential;47.661;-122.31626;NORTHEAST;1961;Office;Office;Compliant;No Issue
4311 ROOSEVELT;NonResidential;47.66065;-122.31689;NORTHEAST;2002;Office;Office;Compliant;No Issue
4300 ROOSEVELT;NonResidential;47.65999;-122.31741;NORTHEAST;2002;Office;Office;Compliant;No Issue
SEATTLE VAULT SELF STORAGE;NonResidential;47.61591;-122.33238;DOWNTOWN;1964;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
METROPOLITAN PARK I  (WEST) OFFICE BLDG;NonResidential;47.61597;-122.33086;DOWNTOWN;1980;Office;Office;Compliant;No Issue
METROPOLITAN PARK NORTH BUILDING;NonResidential;47.6177;-122.3306;DOWNTOWN;2000;Mixed Use Property;Parking;Compliant;No Issue
METROPOLITAN PARK EAST;NonResidential;47.61695;-122.32965;DOWNTOWN;1988;Office;Office;Compliant;No Issue
FOURTH & BLANCHARD BUILDING;NonResidential;47.61431;-122.34244;DOWNTOWN;1979;Office;Office;Compliant;No Issue
3005 1ST AVE BUILDING;NonResidential;47.6177;-122.3545;DOWNTOWN;1980;Mixed Use Property;Office;Compliant;No Issue
THIRD AND BROAD BLDG;NonResidential;47.6182;-122.352;DOWNTOWN;1982;Office;Office;Compliant;No Issue
5TH & BELL BUILDING;NonResidential;47.61598;-122.34369;DOWNTOWN;2002;Office;Office;Compliant;No Issue
SIXTH & WALL BUILDING (521 WALL ST);NonResidential;47.61734;-122.34434;DOWNTOWN;1947;College/University;College/University;Compliant;No Issue
3101 WESTERN (FORMERLY AIRBORNE BLDG);NonResidential;47.6176;-122.35686;DOWNTOWN;1984;Office;Office;Compliant;No Issue
QFC HOLMAN ROAD;NonResidential;47.7019;-122.36374;NORTHWEST;1956;Supermarket/Grocery Store;Supermarket/Grocery Store;Compliant;No Issue
COLLINS BUILDING;NonResidential;47.60227;-122.33202;DOWNTOWN;1900;Office;Office;Compliant;No Issue
SMITH TOWER;NonResidential;47.60198;-122.33174;DOWNTOWN;1912;Office;Office;Compliant;No Issue
Bridge Point Seattle 130;NonResidential;47.54066;-122.33023;GREATER DUWAMISH;1977;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
SKINNER BLDG;NonResidential;47.60932;-122.33388;DOWNTOWN;1927;Office;Office;Compliant;No Issue
IBM BUILDING;NonResidential;47.60842;-122.33305;DOWNTOWN;1964;Office;Office;Compliant;No Issue
PUGET SOUND PLAZA;NonResidential;47.60869;-122.33588;DOWNTOWN;1960;Office;Office;Compliant;No Issue
RAINIER TOWER;NonResidential;47.60887;-122.33429;DOWNTOWN;1976;Office;Office;Compliant;No Issue
FAIRMONT OLYMPIC HOTEL;NonResidential;47.60804;-122.33391;DOWNTOWN;1923;Hotel;Hotel;Compliant;No Issue
LOWES & AMAZON W;NonResidential;47.57936;-122.29744;SOUTHEAST;1980;Retail Store;Retail Store;Compliant;No Issue
THAW BUILDING;NonResidential;47.52871;-122.29443;GREATER DUWAMISH;1970;Mixed Use Property;Non-Refrigerated Warehouse;Not Compliant;Default Data
LINDEN BUILDING (Formerly EUROPEAN SOAPS, LTD);NonResidential;47.72912;-122.34677;NORTHWEST;1960;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Not Compliant;Missing EUI or Utility Data
500 YALE AVENUE NORTH;NonResidential;47.62323;-122.33028;LAKE UNION;2009;Office;Office;Compliant;No Issue
REPUBLICAN BUILDING;NonResidential;47.62333;-122.3296;LAKE UNION;2001;Office;Office;Compliant;No Issue
FERGUSON TERMINAL;NonResidential;47.65825;-122.3683;BALLARD;1973;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
SALMON BAY CENTER 5301;NonResidential;47.66587;-122.38476;BALLARD;1959;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Not Compliant;Missing EUI, Incomplete Natural Gas Data
2601 ELLIOTT AVE;NonResidential;47.61429;-122.35263;DOWNTOWN;1916;Office;Office;Compliant;No Issue
WASH MUTUAL TOWER (1201 THIRD AVE);NonResidential;47.60723;-122.33611;DOWNTOWN;1988;Office;Office;Compliant;No Issue
2+U;NonResidential;47.60669;-122.337;DOWNTOWN;2019;Office;Office;Compliant;No Issue
WASHINGTON ATHLETIC CLUB;NonResidential;47.60968;-122.33379;DOWNTOWN;1930;Mixed Use Property;Fitness Center/Health Club/Gym;Compliant;No Issue
US BANK CENTER;NonResidential;47.61054;-122.33466;DOWNTOWN;1989;Office;Office;Compliant;No Issue
LOGAN BUILDING;NonResidential;47.61003;-122.33452;DOWNTOWN;1958;Office;Office;Compliant;No Issue
O'SHEA BUILDING/GAP;NonResidential;47.61159;-122.33601;DOWNTOWN;1914;Office;Office;Compliant;No Issue
DECATUR BUILDING;NonResidential;47.61166;-122.33528;DOWNTOWN;1921;Office;Office;Compliant;No Issue
520 PIKE BUILDING;NonResidential;47.61125;-122.33494;DOWNTOWN;1983;Office;Office;Compliant;No Issue
4PIKE;NonResidential;47.61005;-122.3361;DOWNTOWN;1926;Office;Office;Compliant;No Issue
WASHINGTON FEDERAL SAVINGS BUILDING;NonResidential;47.61033;-122.3357;DOWNTOWN;1984;Office;Office;Compliant;No Issue
MOTIF SEATTLE;NonResidential;47.60996;-122.33572;DOWNTOWN;1973;Hotel;Hotel;Compliant;No Issue
JOSHUA GREEN BUILDING;NonResidential;47.60991;-122.33687;DOWNTOWN;1910;Office;Office;Compliant;No Issue
MIKEN BLDG.;NonResidential;47.60953;-122.33647;DOWNTOWN;1920;Office;Office;Compliant;No Issue
VANCE BUILDING;NonResidential;47.60902;-122.33674;DOWNTOWN;1929;Office;Office;Compliant;No Issue
1411 BUILDING;NonResidential;47.60923;-122.33625;DOWNTOWN;1929;Office;Office;Compliant;No Issue
CENTURY SQUARE;NonResidential;47.61022;-122.33745;DOWNTOWN;1985;Office;Office;Compliant;No Issue
MELBOURNE TOWER OFF;NonResidential;47.60987;-122.33824;DOWNTOWN;1927;Office;Office;Compliant;No Issue
POLL BUILDING;NonResidential;47.60821;-122.33899;DOWNTOWN;1910;Office;Office;Compliant;No Issue
MAIN MARKET;Campus;47.60881;-122.34119;DOWNTOWN;1908;Mixed Use Property;Retail Store;Compliant;No Issue
MERIDIAN CENTER WEST;NonResidential;47.61164;-122.33446;DOWNTOWN;1996;Parking;Parking;Compliant;No Issue
MERIDIAN CENTER EAST;NonResidential;47.61185;-122.33421;DOWNTOWN;1996;Parking;Parking;Compliant;No Issue
TWO UNION SQUARE;NonResidential;47.61043;-122.33206;DOWNTOWN;1989;Office;Office;Compliant;No Issue
ONE UNION SQUARE;NonResidential;47.60967;-122.33229;DOWNTOWN;1980;Office;Office;Compliant;No Issue
PARK PLACE OFFICE BLDG;NonResidential;47.60909;-122.33202;DOWNTOWN;1971;Office;Office;Compliant;No Issue
101 STEWART;NonResidential;47.61029;-122.34089;DOWNTOWN;1986;Office;Office;Not Compliant;Account Requires Verification
PORT OF SEATTLE - WORLD TRADE CENTER-WEST;NonResidential;47.61116;-122.34748;DOWNTOWN;1999;Office;Office;Compliant;No Issue
WORLD TRADE CENTER-EAST;NonResidential;47.6117;-122.34778;DOWNTOWN;1998;Office;Office;Compliant;No Issue
CENTURYLINK: LENORA MAIN;NonResidential;47.61252;-122.34351;DOWNTOWN;1985;Other;Other;Compliant;No Issue
TERMINAL SALES OFFICE BUILDING;NonResidential;47.61108;-122.34217;DOWNTOWN;1923;Office;Office;Compliant;No Issue
MARSHALL BUILDING/DAHLIA LOUNGE;NonResidential;47.61304;-122.34059;DOWNTOWN;1925;Office;Office;Compliant;No Issue
SECURITIES & MARKET BUILDING CAMPUS;Campus;47.61216;-122.33951;DOWNTOWN;1913;Office;Office;Compliant;No Issue
300 PINE STREET;NonResidential;47.6113;-122.33844;DOWNTOWN;1929;Office;Office;Not Compliant;Default Data
VIRGINIA MASON - BENAROYA RESEARCH INSTITUTE;NonResidential;47.61;-122.32922;EAST;1999;Laboratory;Laboratory;Compliant;No Issue
SEATTLE CONVENTION CENTER;NonResidential;47.61195;-122.33167;DOWNTOWN;1990;Convention Center;Convention Center;Compliant;No Issue
VIRGINIA MASON - Health Resources Building;NonResidential;47.61048;-122.32837;EAST;1988;Outpatient Rehabilitation/Physical Therapy;Outpatient Rehabilitation/Physical Therapy;Compliant;No Issue
VIRGINIA MASON- Lindeman Pavilion;NonResidential;47.61048;-122.32837;EAST;1945;Medical Office;Medical Office;Compliant;No Issue
1101 MADISON TOWER;NonResidential;47.60921;-122.32425;EAST;1992;Medical Office;Medical Office;Compliant;No Issue
333 DEXTER AVE N;NonResidential;47.62177;-122.34292;LAKE UNION;2018;Office;Office;Compliant;No Issue
ELLIOTT BAY OFFICE PARK;NonResidential;47.62177;-122.36158;MAGNOLIA / QUEEN ANNE;1981;Office;Office;Compliant;No Issue
FEDEX VAN TERMINAL;NonResidential;47.56064;-122.32522;GREATER DUWAMISH;2001;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
WASHINGTON STATE FERRIES;Nonresidential WA;47.54868;-122.3255;GREATER DUWAMISH;1963;Distribution Center;Distribution Center;Compliant;No Issue
GTE SYLVANIA;NonResidential;47.5471;-122.32406;GREATER DUWAMISH;1963;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
1551 EASTLAKE BLDG.;NonResidential;47.63349;-122.32634;LAKE UNION;1962;Office;Office;Not Compliant;Missing EUI or Utility Data
1144 EASTLAKE BUILDING;NonResidential;47.62958;-122.32826;LAKE UNION;2001;Office;Office;Compliant;No Issue
701 DEXTER BUILDING;NonResidential;47.62566;-122.34287;MAGNOLIA / QUEEN ANNE;1984;Office;Office;Compliant;No Issue
JUXT APARTMENTS (2017);Multifamily MR (5-9);47.62677;-122.3417;MAGNOLIA / QUEEN ANNE;2016;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
1100 DEXTER;NonResidential;47.62929;-122.34194;MAGNOLIA / QUEEN ANNE;1996;Office;Office;Compliant;No Issue
1441 LAKE UNION CENTER;NonResidential;47.64776;-122.33924;LAKE UNION;2001;Mixed Use Property;Office;Compliant;No Issue
NORTHGATE EXECUTIVE CENTER B;NonResidential;47.70105;-122.32659;NORTH;1974;Office;Office;Compliant;No Issue
NORTHGATE EXECUTIVE CENTER C;NonResidential;47.69999;-122.32663;NORTH;1979;Office;Office;Compliant;No Issue
NORTHGATE PLAZA;NonResidential;47.69917;-122.3268;NORTH;1983;Mixed Use Property;Medical Office;Compliant;No Issue
NORTHGATE OFFICE BUILDING;NonResidential;47.70063;-122.32487;NORTH;1979;Office;Office;Compliant;No Issue
DELRIDGE BUILDING;NonResidential;47.5671;-122.36416;DELRIDGE NEIGHBORHOODS;1960;Office;Office;Compliant;No Issue
425 PONTIUS;NonResidential;47.62269;-122.33224;LAKE UNION;1982;Office;Office;Not Compliant;Missing EUI or Utility Data
COSTCO 4TH AVE S;NonResidential;47.5653;-122.33076;GREATER DUWAMISH;2005;Supermarket/Grocery Store;Supermarket/Grocery Store;Compliant;No Issue
1000 DENNY WAY BUILDING;NonResidential;47.61907;-122.33651;LAKE UNION;1929;Office;Office;Compliant;No Issue
VIRGINIA MASON - Buck Pavilion;NonResidential;47.60953;-122.32793;EAST;1975;Medical Office;Medical Office;Compliant;No Issue
FRED MEYER BALLARD;NonResidential;47.66057;-122.36857;BALLARD;1999;Retail Store;Retail Store;Compliant;No Issue
INTERURBAN EXCHANGE II (Wainwright);NonResidential;47.62402;-122.33755;LAKE UNION;2009;Office;Office;Compliant;No Issue
ROSEN BUILDING;NonResidential;47.62348;-122.33743;LAKE UNION;1928;Laboratory;Laboratory;Compliant;No Issue
401 TERRY AVE (INSTITUTE FOR SYSTEM BIOLOGY);NonResidential;47.62254;-122.33753;LAKE UNION;2003;Laboratory;Laboratory;Compliant;No Issue
428 WESTLAKE BUILDING;NonResidential;47.62286;-122.33804;LAKE UNION;2004;Office;Office;Compliant;No Issue
CITY PLACE II (Fiona);NonResidential;47.62383;-122.3356;LAKE UNION;2009;Office;Office;Compliant;No Issue
PUBLIC STORAGE - PARENT BUILDING (STORE 8185);NonResidential;47.62572;-122.33389;LAKE UNION;1914;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
FHCRC - ARNOLD BLDG;NonResidential;47.62855;-122.33035;LAKE UNION;2002;Office;Office;Compliant;No Issue
FHCRC - YALE BLDG;NonResidential;47.62621;-122.33128;LAKE UNION;2001;Office;Office;Compliant;No Issue
FHCRC - Weintraub/Hutchinson/Thomas Bldgs combined;NonResidential;47.62855;-122.33035;LAKE UNION;1997;Laboratory;Laboratory;Compliant;No Issue
SEATTLE BIOMEDICAL BUILDING;NonResidential;47.62121;-122.33885;LAKE UNION;2003;Mixed Use Property;Laboratory;Compliant;No Issue
WESTLAKE TERRY - EAST BLDG;NonResidential;47.62137;-122.33744;LAKE UNION;2006;Office;Office;Compliant;No Issue
WESTLAKE TERRY WEST BLDG;NonResidential;47.62131;-122.33814;LAKE UNION;2006;Office;Office;Compliant;No Issue
QUEEN ANNE STATION;NonResidential;47.623;-122.35589;MAGNOLIA / QUEEN ANNE;1964;Mixed Use Property;Parking;Not Compliant;Default Data
Brotman Building D: UW Medicine Research;NonResidential;47.62405;-122.34036;LAKE UNION;1963;Laboratory;Laboratory;Compliant;No Issue
UW MEDICINE-LK UNION PHASE II ITHS.ORG;NonResidential;47.62405;-122.34036;LAKE UNION;2008;Mixed Use Property;Laboratory;Compliant;No Issue
200 WEST THOMAS BUILDING;NonResidential;47.62115;-122.3597;MAGNOLIA / QUEEN ANNE;1974;Office;Office;Compliant;No Issue
NORTH TOWER;NonResidential;47.62224;-122.3585;MAGNOLIA / QUEEN ANNE;1972;Office;Office;Compliant;No Issue
SOUTH TOWER;NonResidential;47.62224;-122.3585;MAGNOLIA / QUEEN ANNE;1970;Office;Office;Compliant;No Issue
QUEEN ANNE PLAZA;NonResidential;47.62003;-122.35706;MAGNOLIA / QUEEN ANNE;1985;Office;Office;Compliant;No Issue
FIRST WEST BUILDING;NonResidential;47.62014;-122.35768;MAGNOLIA / QUEEN ANNE;1971;Office;Office;Compliant;No Issue
4225 ROOSEVELT BLDG- U OF W MED. CENTER;NonResidential;47.65821;-122.31831;NORTHEAST;1988;Mixed Use Property;Parking;Compliant;No Issue
4245 ROOSEVELT - UW MEDICAL CENTER;Nonresidential WA;47.65884;-122.3183;NORTHEAST;1994;Medical Office;Medical Office;Compliant;No Issue
TRIAD BALLARD DEVELOPMENT;NonResidential;47.66838;-122.3931;BALLARD;1946;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
PUBLIC STORAGE (STORE 8176);NonResidential;47.56885;-122.37121;SOUTHWEST;1997;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
SEATTLE CANCER CARE ALLIANCE CLINIC;NonResidential;47.62667;-122.32965;LAKE UNION;2000;Other/Specialty Hospital;Other/Specialty Hospital;Compliant;No Issue
ASIAN COUNSELING and REFERRAL SERVICE BUILDING;NonResidential;47.57083;-122.29732;GREATER DUWAMISH;2008;Medical Office;Medical Office;Not Compliant;Missing EUI, Incomplete Natural Gas Data
FRED MEYER LAKE CITY;NonResidential;47.7237;-122.29232;NORTH;1995;Retail Store;Retail Store;Not Compliant;Default Data
RESTAURANT DEPOT;NonResidential;47.56895;-122.33775;GREATER DUWAMISH;2008;Distribution Center;Distribution Center;Compliant;No Issue
WESTBRIDGE BUILDING - SEATTLE PARKS DEPT;Nonresidential COS;47.56548;-122.35378;DELRIDGE NEIGHBORHOODS;1955;Other - Services;Other - Services;Compliant;No Issue
SKYLINE EAST MARGINAL WAREHOUSE;NonResidential;47.56419;-122.34262;GREATER DUWAMISH;1999;Manufacturing/Industrial Plant;Manufacturing/Industrial Plant;Compliant;No Issue
KCPQ (Fox13);NonResidential;47.63549;-122.34103;MAGNOLIA / QUEEN ANNE;1952;Mixed Use Property;Office;Compliant;No Issue
LOWES;NonResidential;47.72053;-122.34739;NORTHWEST;1997;Wholesale Club/Supercenter;Wholesale Club/Supercenter;Not Compliant;Account Requires Verification
EXTRA SPACE SELF STORAGE;NonResidential;47.72377;-122.34095;NORTHWEST;1999;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
AURORA SHOPPING CENTER;NonResidential;47.72546;-122.34659;NORTHWEST;1964;Strip Mall;Strip Mall;Compliant;No Issue
